Number,Title,Type,metacritic_metascore,meta_user,meta_note
134,Hyper Street Fighter II: The Anniversary Edition,,,tbd,['unable to get the rating']
135,Hyper Street Fighter II: The Anniversary Edition (Asia Phoenix Edition),,,,"['unable to get the rating', 'unable to get the user rating']"
136,Street Fighter Alpha: Warriors' Dreams (Euro),,,,"['unable to get the rating', 'unable to get the user rating']"
137,Street Fighter Alpha 2(Euro),,,,"['unable to get the rating', 'unable to get the user rating']"
138,Street Fighter Alpha 2(USA),,,,"['unable to get the rating', 'unable to get the user rating']"
139,Street Fighter Alpha 3(Euro),,,,"['unable to get the rating', 'unable to get the user rating']"
140,Street Fighter Alpha 3(USA),,,,"['unable to get the rating', 'unable to get the user rating']"
141,Street Fighter Zero (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
142,Street Fighter Zero 2 (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
143,Street Fighter Zero 2 Alpha (Asia),,,,"['unable to get the rating', 'unable to get the user rating']"
144,Street Fighter Zero 3 (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
145,Super Street Fighter II Turbo,,,tbd,['unable to get the rating']
146,Aero Fighters,,,tbd,['unable to get the rating']
147,Aero Fighters 2,,,7.6,['unable to get the rating']
148,Aero Fighters 3,,,tbd,['unable to get the rating']
149,Bomber Man World,3/4P,,,"['unable to get the rating', 'unable to get the user rating']"
150,D. D. Crew (3 Players),3/4P,,,"['unable to get the rating', 'unable to get the user rating']"
151,Cadillacs and Dinosaurs,3/4P,,,"['unable to get the rating', 'unable to get the user rating']"
152,Cadillacs and Dinosaurs(US）,3/4P,,,"['unable to get the rating', 'unable to get the user rating']"
153,Cadillacs and Dinosaurs (Hack),3/4P,,,"['unable to get the rating', 'unable to get the user rating']"
154,Donkey Kong,,55.0,7.3,[]
155,Donkey Kong (US set 2),,,,"['unable to get the rating', 'unable to get the user rating']"
156,Donkey Kong Junior,,,,"['unable to get the rating', 'unable to get the user rating']"
157,Donkey Kong 3,,,tbd,['unable to get the rating']
158,Double Dragon,,72.0,tbd,[]
159,Double Dragon (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
160,Double Dragon (Neo-Geo),,,tbd,['unable to get the rating']
161,Double Dragon (World),,,,"['unable to get the rating', 'unable to get the user rating']"
162,Double Dragon II - The Revenge,,,tbd,['unable to get the rating']
163,Double Dragon3- The Rosetta Stone,,,,"['unable to get the rating', 'unable to get the user rating']"
164,Donkey King Jr.,,,,"['unable to get the rating', 'unable to get the user rating']"
165,Sengoku,,70.0,6.8,[]
166,Kozmik Kroozr,TRACKBALL,,,"['unable to get the rating', 'unable to get the user rating']"
167,Darius,,,tbd,['unable to get the rating']
168,Darius II (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
169,Alpha One,TRACKBALL,,,"['unable to get the rating', 'unable to get the user rating']"
170,Capcom Bowling,TRACKBALL,,,"['unable to get the rating', 'unable to get the user rating']"
171,Championship Bowling,TRACKBALL,,tbd,['unable to get the rating']
172,Golden Tee Golf II,TRACKBALL,,,"['unable to get the rating', 'unable to get the user rating']"
173,Golden Tee Golf II (Trackball),TRACKBALL,,,"['unable to get the rating', 'unable to get the user rating']"
174,"Golden Tee Golf (Trackball, v1.0)",TRACKBALL,,,"['unable to get the rating', 'unable to get the user rating']"
175,Curve Ball,,,,"['unable to get the rating', 'unable to get the user rating']"
176,Drive Out,,,,"['unable to get the rating', 'unable to get the user rating']"
177,The Masters of Kin,,,,"['unable to get the rating', 'unable to get the user rating']"
178,Jungle King (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
179,Armored Warriors,3/4P,,,"['unable to get the rating', 'unable to get the user rating']"
180,Dark Adventure,3/4P,,tbd,['unable to get the rating']
181,Dungeons & Dragons: Tower of Doom,3/4P,,,"['unable to get the rating', 'unable to get the user rating']"
