Number,Title,Type
247,Super Space Invaders '91,
248,Thunder Dragon 2,
249,Lemmings,TRACKBALL
250,Alley Master,TRACKBALL
251,Arkanoid - Revenge of DOH,TRACKBALL
252,Bang!,TRACKBALL
253,Birdie King,TRACKBALL
254,Birdie King 2,TRACKBALL
255,Birdie King 3,TRACKBALL
256,Blasteroids,TRACKBALL
257,Bomb Bee,TRACKBALL
258,Bulls Eye Darts,TRACKBALL
259,Cameltry,TRACKBALL
260,Crystal Castles,TRACKBALL
261,Centipede,TRACKBALL
262,Cutie Q,TRACKBALL
263,Danger Zone,TRACKBALL
264,Dark Planet,TRACKBALL
265,D-Day,TRACKBALL
266,Dunk Shot,TRACKBALL
267,Food Fight,TRACKBALL
268,Gee Bee (Japan),TRACKBALL
269,Goalie Ghost,TRACKBALL
270,Liberator,TRACKBALL
271,Marble Madness,TRACKBALL
272,Millipede,TRACKBALL
273,Mini Golf,TRACKBALL
274,Missile Command,TRACKBALL
275,Mad Planets,TRACKBALL
276, Night Stocker,TRACKBAll
277, N.Y. Captor,TRACKBAll
278,Night Warriors: Darkstalkers' Revenge,
279, Operation Wolf,TRACKBAll
280, Police Trainer,TRACKBAll
281, Reactor,TRACKBAll
282, Snacks'n Jaxson,TRACKBAll
283, Spiker,TRACKBAll
284, Super Missile Attack,TRACKBAll
285, Syvalion (Japan),TRACKBAll
286, Tempest,TRACKBAll
287, Zero Point,TRACKBAll
288, Zero Point 2,TRACKBAll
289,Out Run,
290, Shuffleshot,TRACKBAll
291, Shuffleboard,TRACKBAll
292,Vendetta,3/4P
293,"Tank Force (US, 4 Player)",3/4P
294,"Alien Storm (World, 3 Players)",3/4P
295,Crime Fighters (US 4 Players),3/4P
296,D. D. Crew,3/4P
297,Hot Rod,3/4P
298, 720 Degrees,TRACKBAll
299,1941: Counter Attack,
300,1942,
301,1943: The Battle of Midway,
302,1944: The Loop Master,
303,1942 (Revision A),
304,1942 (C64 Music),
305,1943: Midway Kaisen,
306,1943 Kai: Midway Kaisen (Japan),
307,1943: The Battle of Midway (US),
308,"1944 - the loop master (000620 USA Phoenix Edition, alt)",
309,1945k III,
310,19XX: The War Against Destiny,
311,2020 Super Baseball,
312,3 Count Bout,
313,3 Count Bout (VER.A),
314,New HyperMan,
315,Three Wonders,
316,Forty-Love,
317,4-D Warriors,
318,4 En Raya,
319,4 Fun in 1,
320,Puzzle King,
321,64th. Street-A Detective Story,
322,88 Games,
323,Eight Ball Action,
324,Eight Ball Action (Pac-Man conversion),
325,99: The Last War,
326,All American Football,3/4P
327,Abscam,
328,After Burner II,
329,Atlantic City Action,
330,Acrobat Mission,
331,Act-Fancer Cybernetick Hyper Weapon,
332,Action Hollywood,
333,Action Fighter,
334,Air Gallet,
335,"Akuu Gallet (older, Japan)",
336,Agress - Missile Daisenryaku,
337,Agress - Missile Daisenryaku(bootleg),
338,Air Attack,
339,Air Buster: Trouble Specialty Raid Unit,
340,Air Duel,
341,Airwolf,
342,Ajax,
343,Ajax (Japan),
344,Akuma-Jou Dracula (Japan),
345,Alcon (US),
346,Alex Kidd: The Lost Stars,
347,Ali Baba and 40 Thieves,
348,Aliens,
349,Alien Sector,
350,Aliens (US),
351,Alien Syndrome (set 4),
352,Alien Syndrome 2,
353,Alligator Hunt,
354,Alpha Mission II,
355,Alpha Mission II plus,
356,Alpine Ski,
357,Altair,
358,Altered beast,
359,Altered Beast (set 2),
360,Soldier Girl Amazon,
361,American Speedway,
362,Andro Dunos,
363,Anteater,
364,Aggressors of Dark Kombat,
365,Art of Fighting,
366,Art of Fighting 2,
367,Art of Fighting 3,
368,APB - All Points Bulletin,TRACKBALL
369,Apocaljpse Now,
370,Aqua Jack,
371,Aquarium,
372,Arabian Fight,3/4P
373,Arabian,
374,Arabian (Atari),
375,Arabian Magic,
376,Arcade Classics,TRACKBALL
377,Arcadia,
378,Area 88 (Japan),
379,Argus,
380,Arkanoid,TRACKBALL
381,Ark Area,
382,Arlington Horse Racing,
383,Armed Formation,
384,Armored Car,
385,Armored Warriors (Euro 941024),3/4P
386,Armored Warriors (Euro),3/4P
387,Arm Wrestling,
388,Ashura Blaster,
389,Ashura Blaster (US),
390,ASO - Armored Scrum Object,
391,Assault (Rev B),
392,Asteroids Deluxe,
393,Asterix,
394,Asterix (ver AAD),
395,Asteroids,
396,Astro Invader,
397,Alien storm,
398,Alien Storm (Japan),
399,Astrians,
400,Astro Blaster,
401,The Astyanax,
402,Asuka,
403,Asura Blade - Sword of Dynasty (Japan),
404,Asura Buster - Eternal Warriors (Japan),
405,Double Dragon3- The Rosetta Stone (3 Players),3/4P
406,Ataxx,TRACKBALL
407,Tetris (set 1),
408,Athena,
409,Atomic Boy,
410,Atomic Point (Korea),
411,Atomic Punk,3/4P
412,Avalanche,TRACKBALL
413,Avengers,
414,Avengers (US),
415,Alien vs. Predator,
416,Avenging Spirit,
417,Alien vs. Predator (US),
418,Azurian Attack,
419,Bad Dudes vs. Dragonninja,
420,Bad Lands,
421,Valadon Automation,
422,Bakuretsu Breaker,
423,Bal Cube,
424,Balloon Brothers,
425,Baluba-louk no Densetsu (Japan),
426,Bang Bang Ball,
427,Bang Bead,
428,Bang Bead (set 2),
429,Bank Panic,
430,Baraduke,
431,Battle Circuit,
432,Battle Circuit (Asia 970319),
433,Batman,
434,Batman Part 2,
435,Armed Police Batrider (USA),
436,Batsugun,
437,Batsugun (older set),
438,Battle Lane! Vol. 5,
439,Battlantis,
440,Battlantis (Japan),
441,The Battle-Road,
442,Bay Route,
443,Battle Bakraid - Unlimited Version,
444,Best Bout Boxing,
445,Buster Bros.,
446,Battle Chopper,
447,Battle Cruiser M-12,
448,BeatHead,
449,The Berlin Wall,
450,The Berlin Wall (bootleg?),
451,Bermuda Triangle,
452,Best Of Best,
453,Bestri,
454,Battle Garegga,
455,Big Bang,
456,Big Event Golf,TRACKBALL
457,Big Karnak,
458,Big Kong,
459,The Big Pro Wrestling!,
460,Big Run,
461,Big Striker,
462,The Billiards,
463,Bio Attack,
464,Biomechanical Toy,
465,Bionic Commando,
466,Bio-ship Paladin,
467,Birdiy,
468,Birdie Try (Japan),
469,Blue's Journey,
470,Bombjack Twin,
471,Blades of Steel,
472,Blandia,
473,Blasted,
474,Blaster,
475,Blaze On (Japan),
476,Blazing Star,
477,BlockBuster,
478,Black Heart,
479,Black Hole,
480,Black Panther,
481,Blomby Car,
482,Block Block (bootleg),
483,Block Carnival,
484,Blocken (Japan),
485,Block Hole,
486,Block Out,
487,Crazy Climber,
488,Bloxeed (PS2 data file),
489,Bells & Whistles,
490,Blue Hawk,
491,Blue Print,
492,Blade Master (World),
493,Konkyuu no Hoshi,
494,Bump 'n' Jump,
495,Bonanza Bros,
496,Body Slam,
497,Bogey Manor,
498,Boggy '84,
499,Bomb Jack,
500,Bomb Kick (set 1),
501,Bongo,
502,B.C. Kid,
503,Boomer Rang'r,
504,Boot Hill,
505,Borench,
506,Born To Fight,TRACKBALL
507,Bottom of the Ninth,
508,Boulder Dash,
509,The Bounty,
510,Boxy Boy,
511,Brain,
512,B.Rap Boys (World),3/4P
513,Breakers,
514,Breakers Revenge,
515,Brix,
516,Break Thru,
517,Burnin' Rubber,
518,Basketball,TRACKBALL
519,Back Street Soccer,3/4P
520,Baseball Stars Professional,
521,Baseball Stars 2,
522,Burger Time,
523,Vs. Battle City,
524,Battle Field,
525,Battle K-Road,
526,Battletoads,
527,Bubble Bobble II,
528,Buccaneer,
529,Buccaneers (set 1),
530,Buccaneers,
531,Buck Rogers: Planet of Zoom,
532,Bucky O'Hare,3/4P
533,Buggy Challenge,TRACKBALL
534,Bullfight,
535,Bull Fighter,
536,Hissatsu Buraiken (Japan),
537,Burglar X,
538,Burning Force (Japan),
539,Burning Fight,
540,Butasan-Pig's,
541,Buzzard,
542,Black Widow,
543,B-Wings,
544,B-Wings (Japan.),
545,Cabal,
546,Cachat (Japan),
547,Cactus,
548,Cadash,
549,Change Air Blade (Japan),
550,Caliber 50,
551,Calipso,
552,Calorie Kun vs Moguranian,
553,Cannon Dancer (Japan),
554,Candory,
555,Cannon Ball,
556,Cannon Ball (bootleg on Crazy Kong hardware),
557,Capitol,
558,Captain America and The Avengers,
559,Captain America and The Avengers (UK Rev 1.4),
560,Captain Commando,
561,Car Action (set 1),
562,Carrera,
563,Catacomb,
564,Catt (Japan),
565,Cavelon,
566,Cosmic Avenger,
567,Carrier Air Wing,
568,Carrier Air Wing 2,
569,Capcom Baseball (Japan),
570,Crude Buster,
571,Crude Buster (Japan),
572,Crude Buster (World),
573,Cosmic Chasm (set 1),TRACKBALL
574,Crazy Climber (US),
575,Crazzy Clownz,TRACKBALL
576,Chicken Farm,
577,Cosmo Gang the Puzzle (US),
578,Chain Reaction,
579,Chack'n Pop,
580,Challenger,
581,Chameleon,
582,Champion Base Ball,
583,Champion Base Ball Part-2 (set 1),
584,Champion Wrestler,
585,Changes,
586,Charlie Ninja,
587,Chase H.Q.,
588,Champion Boxing,
589,Check Man,
590,Cheese Chase,
591,Chelnov - Atomic Runner,
592,Chiki Chiki Boys (Japan),
593,himera Beast (Japan),
594,China Gate,
595,Chinese Hero,
596,Choky! Choky!,
597,Choplifter (bootleg),
598,Choplifter,
599,Chopper I,
600,Chequered flag,
601,Chuka Taisen,
602,Champion Pro Wrestling,
603,Circus Charlie,
604,Circus Charlie (set 2),
605,Circus Charlie (Centuri),
606,Cisco Heat,
607,City Bomber,
608,City Bomber (Japan),
609,City Connection,
610,Crazy Kong,
611,Crazy Kong (bootleg on Galaxian hardware),
612,Crazy Kong ver2,
613,Crazy Kong Part II (set 1),
614,Crazy Kong (Scramble hardware),
615,Clay Pigeon,TRACKBALL
616,Cloak & Dagger,
617,Cloud 9,TRACKBALL
618,Clash-Road,
619,Clutch Hitter,
620,Vs. Clu Clu Land,
621,Caveman Ninja,
622,Caveman Ninja ver2,
623,Cobra-Command,
624,Colony 7,
625,Colony 7 ver2,
626,Columns II: The Voyage Through Time (Japan),
627,Columns II: The Voyage Through Time,
628,Combat School (Japan trackball),TRACKBALL
629,Combat,TRACKBALL
630,combat school,
631,Commando (World),
632,Commando,
633,Congo Bongo,
634,Continental Circus,
635,Contra,
636,Cookie & Bibi,
637,Cookie & Bibi 2,
638,Cookie & Bibi 3,
639,Cook Race,
640,Cop 01,
641,Cop 01 ver2,
642,Cosmic Cop,
643,Cosmic Guerilla,
644,Cosmo,
645,Cosmo Gang the Video (US),
646,Cotton,
647,Crowns Golf,
648,Crowns Golf in Hawaii,
649,Crime City,
650,Crime Fighters,3/4P
651,Croquis,
652,Cross Pang,
653,Crossbow,TRACKBALL
654,Lethal Crash Race,
655,Crossed Swords,
656,Cruisin,
657,Crush Roller,
658,Crush Roller (set 3),
659,Crusher Makochan (Japan),
660,Crazy Rally,
661,Capcom Sports Club,
662,Capcom Sports Club (Asia 970722),
663,Capcom Sports Club (Japan),
664,Chicken Shift,
665,Captain Silver,
666,Championship Sprint,
667,Crouching Tiger Hidden Dragon 2003 Super Plus alternate,
668,Crouching Tiger Hidden Dragon 2003,
669,Captain Tomaday,
670,The Combatribes,
671,The Combatribes (set 1),
672,The Combatribes (set 2),
673,Caterpillar Pacman Hack,
674,Cybattler,
675,Cyber-Lip,
676,Cyberbots: Fullmetal Madness,
677,Cyberbots: Fullmetal Madness (Japan),
678,Cyberbots: Fullmetal Madness (USA),
679,Cyvern,
680,Daikaiju no Gyakushu,
681,Daimakaimura (Japan),
682,Daimakaimura (Japan Resale),
683,Daioh,
684,Daioh (earlier),
685,Dai Ressya Goutou (Japan),
686,Daisenpu (Japan),
687,Dambusters,
688,Ufo Robo Dangar,
689,Daraku Tenshi - The Fallen Angels,
690,The Lost Castle In Darkmist,
691,Dark Seal,
692,Dark Tower,
693,Darwin 4078 (Japan),
694,The Double Dynamites (Japan),
695,Dragon Breed,
696,Dragonball Z,
697,Dragonball Z2- Super Battle,
698,Double Cheese,
699,D-Con,
700,Chulgyeok D-Day,
701,DoDonPachi,
702,DoDonPachi II - Bee Storm (World),
703,Double Dribble,
704,Dungeons & Dragons: Shadow over Mystara,
705,Dungeons & Dragons: Shadow over Mystara (USA),
706,Dungeons & Dragons: Tower of Doom (Euro),3/4P
707,Dangerous Dungeons,
708,Dynamite Dux,
709,Dead Angle,
710,Dead Connection,
711,Dead Eye,
712,Death Brade (Japan),
713,Deer Hunting USA V4.3,TRACKBALL
714,Defender,
715,Demolition Derby,3/4P
716,Demon's World,
717,Demon's World (set 3),
718,Deroon DeroDero,
719,Desert Breaker (World),
720,Destination Earth,
721,Detana!! Twin Bee (Japan),
722,Devil Fish,
723,Devil World,
724,Devastators,
725,Devastators (ver. X),
726,Devastators (ver. V),
727,Dangun Feveron (Japan),
728,Dharma Doujou,
729,Diamond Run,
730,Diet Go Go,
731,Dig Dug II,
732,Digger Man,
733,Dimahoo,
734,Dimahoo (USA),
735,Dingo,
736,Dino Rex (World),
737,Dino Rex (US),
738,Diver Boy,
739,DJ Boy (Japan),
740,Daiku no Gensan (Japan),
741,Dream Land,
742,Dynamite League (US),
743,Demon Front,
744,Mr. Do's Castle,
745,Dock Man,
746,Acrobatic Dog-Fight,
747,Dog-Fight (Japan),
748,Dog Fight,
749,Dogyuun,
750,Dokaben (Japan),
751,Doki Doki Penguin Land,
752,Domino Man,
753,Dominos,
754,Dommy,
755,Don Doko Don,
756,Mr.Do's Nightmare (hack by Krazy Ivan),
757,DonPachi,
758,Dorodon,
759,Dorodon (set 2),
760,Do! Run Run,
761,Mr. Do vs. Unicorns,
762,Mr. Do's Wild Ride,
763,DownTown,
764,Dragon Blaze,
765,Dragon Gun,
766,Drag Race,TRACKBALL
767,Dream World,
768,Dragon Bowl,
769,Dragon Buster,
770,Dragonninja (Japan),
771,Dragon Unit,
772,Dragon World II,
773,Drift Out '94-The Hard Order (Japan),
774,Drift Out,
775,Driving Force,
776,Driving Force (Pac-Man conversion),
777,Dr. Micro,
778,Dr. Toppel's Adventure,
779,Dragon Saber,
780,Darkstalkers: The Night Warriors,
781,Vs. Duck Hunt,TRACKBALL
782,Dynasty Wars,
783,Chuugokuryuu 2001,
784,Dyger,
785,Dynablaster,3/4P
786,Dyna Gear,
787,Dynamic Ski,
788,Dynamic Shoot Kyousou,
789,Dynamite Duke,
790,Dynasty Wars (USA),
791,"Dynasty Wars (USA, B-Board)",
792,Eagle,
793,U.N. Defense Force: Earth Joker (Japan),
794,Eco Fighters,
795,E.D.F. : Earth Defense Force,
796,The Cliffhanger - Edward Randy,
797,Eight Forces,
798,Eight Man,
799,Elevator Action,
800,Emeraldia (World),
801,Empire City: 1931,
802,Enforce,
803,Escape from the Planet of the Robot Monsters,
804,Equites,
805,The Empire Strikes Back,TRACKBALL
806,Escape Kids,3/4P
807,"Escape Kids (Japan,2Players)",
808,Espgaluda,
809,Espial,
810,ESP Ra.De.,
811,E-Swat - Cyber Police,
812,E-Swat - Cyber Police (bootleg),
813,Kokontouzai Eto Monogatari (Japan),
814,Evil Stone,
815,Exciting Soccer II,
816,Exciting Soccer,
817,Exed Exes,
818,Exerion,
819,Exodus,
820,Explosive Breaker,
821,Explorer,
822,Express Raider,
823,Extreme Downhill,
824,Exvania (World),3/4P
825,"Exzisus (Japan, dedicated)",
826,Eyes,
827,F-1 Dream,
828,F-1 Grand Prix,
829,F-1 Grand Prix Part II,
830,Falcon,
831,Fantasy (World),
832,Fantazia,
833,Fantasy Land,
834,Fantasy Zone II - The Tears of Opa-Opa,
835,Fantasy Zone,
836,Fast Freddie,
837,Fatal Fury Special,
838,Fatal Fury - King of Fighters,
839,Fatal Fury 2,
840,Fatal Fury3- Road to the Final Victory,
841,Fire Ball,3/4P
842,Football Frenzy,
843,Fever SOS,
844,Fighting Fantasy,
845,Final Fight,
846,Fighting Basketball,
847,Fighting Hawk,
848,Field Day,
849,Fight Fever,
850,Fighting Roller,
851,Final Blow,
852,Finalizer - Super Transformation,
853,Final Tetris,
854,Firebeast,
855,Fire Hawk,
856,Fire Trap,
857,Fishin' Frenzy,
858,Fighting Golf (World),
859,Fitter,
860,Flashgal,
861,Flicky,
862,Battle Flip Shot,
863,Flak Attack (Japan),
864,Flower (US),
865,The FairyLand Story,
866,Fly-Boy,
867,Flying Tiger,
