Number,Title,Type,ign_score,ign_user,ign_note
123,Street Fighter II: The World Warrior (USA4),,,,"['unable to get the rating', 'unable to get the user rating']"
124,Street Fighter II: The World Warrior (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
125,Street Fighter II: The World Warrior (Japan Set 2),,,,"['unable to get the rating', 'unable to get the user rating']"
126,Street Fighter II: Hyper Fighting (World),,,,"['unable to get the rating', 'unable to get the user rating']"
127,Marvel Vs. Capcom: Clash of Super Heroes,,7.5,8.4,[]
128,Marvel Vs. Capcom: Clash of Super Heroes (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
129,X-Men Vs. Street Fighter,,,,"['unable to get the rating', 'unable to get the user rating']"
130,X-Men Vs. Street Fighter (EU),,,,"['unable to get the rating', 'unable to get the user rating']"
131,Marvel Super Heroes Vs. Street Fighter,,7.5,7.9,[]
132,Marvel Super Heroes Vs. Street Fighter (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
133,Marvel Super Heroes Vs. Street Fighter (USA),,,,"['unable to get the rating', 'unable to get the user rating']"
134,Hyper Street Fighter II: The Anniversary Edition,,NR,9.2,[]
135,Hyper Street Fighter II: The Anniversary Edition (Asia Phoenix Edition),,,,"['unable to get the rating', 'unable to get the user rating']"
136,Street Fighter Alpha: Warriors' Dreams (Euro),,,,"['unable to get the rating', 'unable to get the user rating']"
137,Street Fighter Alpha 2(Euro),,,,"['unable to get the rating', 'unable to get the user rating']"
138,Street Fighter Alpha 2(USA),,,,"['unable to get the rating', 'unable to get the user rating']"
139,Street Fighter Alpha 3(Euro),,,,"['unable to get the rating', 'unable to get the user rating']"
140,Street Fighter Alpha 3(USA),,,,"['unable to get the rating', 'unable to get the user rating']"
141,Street Fighter Zero (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
142,Street Fighter Zero 2 (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
143,Street Fighter Zero 2 Alpha (Asia),,,,"['unable to get the rating', 'unable to get the user rating']"
144,Street Fighter Zero 3 (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
145,Super Street Fighter II Turbo,,NR,8.8,[]
146,Aero Fighters,,NR,7.6,[]
147,Aero Fighters 2,,NR,7,[]
148,Aero Fighters 3,,NR,6.3,[]
149,Bomber Man World,3/4P,,,"['unable to get the rating', 'unable to get the user rating']"
150,D. D. Crew (3 Players),3/4P,,,"['unable to get the rating', 'unable to get the user rating']"
151,Cadillacs and Dinosaurs,3/4P,NR,,['unable to get the user rating']
152,Cadillacs and Dinosaurs(US）,3/4P,,,"['unable to get the rating', 'unable to get the user rating']"
153,Cadillacs and Dinosaurs (Hack),3/4P,,,"['unable to get the rating', 'unable to get the user rating']"
154,Donkey Kong,,8,7.2,[]
155,Donkey Kong (US set 2),,,,"['unable to get the rating', 'unable to get the user rating']"
156,Donkey Kong Junior,,,,"['unable to get the rating', 'unable to get the user rating']"
157,Donkey Kong 3,,6,5.6,[]
158,Double Dragon,,5.5,6.8,[]
159,Double Dragon (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
160,Double Dragon (Neo-Geo),,,,"['unable to get the rating', 'unable to get the user rating']"
161,Double Dragon (World),,,,"['unable to get the rating', 'unable to get the user rating']"
162,Double Dragon II - The Revenge,,NR,7.2,[]
163,Double Dragon3- The Rosetta Stone,,,,"['unable to get the rating', 'unable to get the user rating']"
164,Donkey King Jr.,,,,"['unable to get the rating', 'unable to get the user rating']"
165,Sengoku,,NR,-,[]
166,Kozmik Kroozr,TRACKBALL,,,"['unable to get the rating', 'unable to get the user rating']"
167,Darius,,NR,-,[]
168,Darius II (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
169,Alpha One,TRACKBALL,,,"['unable to get the rating', 'unable to get the user rating']"
170,Capcom Bowling,TRACKBALL,NR,,['unable to get the user rating']
171,Championship Bowling,TRACKBALL,,,"['unable to get the rating', 'unable to get the user rating']"
172,Golden Tee Golf II,TRACKBALL,NR,-,[]
173,Golden Tee Golf II (Trackball),TRACKBALL,,,"['unable to get the rating', 'unable to get the user rating']"
174,"Golden Tee Golf (Trackball, v1.0)",TRACKBALL,,,"['unable to get the rating', 'unable to get the user rating']"
